,,Defended,Left alone,Beaten,Edged,Caught,Runout,Stumped,Bowled,LBW,Boundary_bat,Runs_bat,Boundary_extras,R_extras,Catch_drop,Stumping_missed,Runout_missed,Bouncer,Yorker,Overthrow,great_save,poor_fielding,
699,"Rashid to Mohammad Hafeez, no run, drags it down a little, pushed back to the bowler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,"Rashid to Mohammad Hafeez, 1 run, tossed up outside off, driven through the covers",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
701,"Rashid to Azhar Ali, 1 run, pushed through on middle and leg, Azhar clips through midwicket",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
702,"Rashid to Mohammad Hafeez, no run, floated up on the stumps, Hafeez gets down low to sweep but picks out the fielder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,"Ali to Azhar Ali, 1 run, on the stumps, dabbed into a gap at midwicket and they hustle one",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
704,"Ali to Mohammad Hafeez, no run, length ball, spinning in, clips the inside edge and runs square",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,"Ali to Mohammad Hafeez, no run, flighted around off stump, blocked back to the bowler's left",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706,"Ali to Mohammad Hafeez, 1 run, down the leg side, just a little tickle of bat on it and the ball runs fine",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
707,"Ali to Azhar Ali, 1 run, presses forward and pushes a driven through mid-on",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
708,"Ali to Mohammad Hafeez, no run, there's a clatter of timber, Buttler makes a half-hearted appeal... The ball went into and out of his gloves on to the stumps but was Hafeez's back foot in? Yes, it was indeedy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
709,"Rashid to Azhar Ali, 1 run, tossed up and punched through the covers",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
710,"Rashid to Mohammad Hafeez, no run, flighted outside off, tapped towards mid-off along the ground",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711,"Rashid to Mohammad Hafeez, OUT, calamity! Hafeez has run out his captain...! Steered the ball straight to backward point and then called Azhar through, but he was never in the picture, he turns and stops as if to remonstrate, swipes the air with his bat. To be fair, he didn't respond to the initial call and was then up the creek",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712,"Rashid to Sarfraz Ahmed, 1 run, gets forward and drives wide of the bowler for one",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
713,"Rashid to Mohammad Hafeez, 1 run, spinning away outside off, dabbed through backward point",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
714,"Rashid to Sarfraz Ahmed, 1 run, on the stumps, whipped to leg and Safraz races through for one more",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
715,"Ali to Sarfraz Ahmed, 1 run, pushed into another gap for a busy single",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
716,"Ali to Mohammad Hafeez, no run, beats the bat outside off, Hafeez attempting to cut off the back foot",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
717,"Ali to Mohammad Hafeez, no run",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,"Ali to Mohammad Hafeez, 1 run",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
719,"Ali to Sarfraz Ahmed, FOUR, Sarfraz is up and motoring, smoothly powering a sweep through backward square leg - 100 up for Pakistan",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
720,"Ali to Sarfraz Ahmed, no run, on the stumps, turned into the leg side but midwicket seizes on it",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,"Rashid to Mohammad Hafeez, no run, pushes the ball back to the bowler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,"Rashid to Mohammad Hafeez, no run, spinning away outside off, dabbed square",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
723,"Rashid to Mohammad Hafeez, 1 run, turned into a gap",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
724,"Rashid to Sarfraz Ahmed, 2 runs, pushed through outside off, Sarfraz drops back and plays a very late cut for a couple",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
725,"Rashid to Sarfraz Ahmed, no run, tossed up on middle and leg, nudged into the off side",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"Rashid to Sarfraz Ahmed, no run, gives it some air outside off, driven into the covers - tighter over from Rashid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
727,"Ali to Mohammad Hafeez, 1 run, shout of ""catch!"" from Moeen as Hafeez chips into a gap on the leg side",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
728,"Ali to Sarfraz Ahmed, FOUR, superbly done from Sarfraz, gets lower than Flo Rida Ft. T-Pain and sweeps hard from outside off off stump through backward square leg",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
729,"Ali to Sarfraz Ahmed, 1 run, on the stumps, worked to leg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
730,"Ali to Mohammad Hafeez, 2 runs, driven, uppish and is that a drop? Well, hard to call it a chance but Woakes, I think, got fingertips to it diving forward at extra cover",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
731,"Ali to Mohammad Hafeez, no run, punched back down the track",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732,"Ali to Mohammad Hafeez, 1 run, tossed up and swept hard, bounces out towards deep midwicket",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
733,"Rashid to Mohammad Hafeez, no run, length ball outside off, dabbed towards backward point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734,"Rashid to Mohammad Hafeez, no run, tossed up and punched into the covers coming forwards",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,"Rashid to Mohammad Hafeez, no run, tossed up and punched into the covers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736,"Rashid to Mohammad Hafeez, no run, nicely bowled, flighted on off stump and turning to beat Hafeez's forward prod",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737,"Rashid to Mohammad Hafeez, no run, gets into line and dabs it away - another dot for Rashid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
738,"Rashid to Mohammad Hafeez, no run, and that's a rare maiden for him, tossing up the googly to complete the over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739,"Ali to Sarfraz Ahmed, 1 run, nudged off the legs",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
740,"Ali to Mohammad Hafeez, no run, goes down to try and sweep, misses the ball and takes it on the thigh - maybe a little slower from Moeen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741,"Ali to Mohammad Hafeez, no run, on the stumps, turned to leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742,"Ali to Mohammad Hafeez, no run, comes forward and drives to the man in the covers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743,"Ali to Mohammad Hafeez, 1 run, flighted, worked across the line, in front of midwicket and they pinch one",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
744,"Ali to Sarfraz Ahmed, no run, angled in with the arm, blocked back to the bowler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745,"Rashid to Mohammad Hafeez, no run, on the stumps, tucked towards midwicket",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
746,"Rashid to Mohammad Hafeez, 1 run, tossed up, goes for the slog-sweep and miscues it along the ground towards long-on",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
747,"Rashid to Sarfraz Ahmed, FOUR, tossed up, nice and juicy outside off, Sarfraz takes a big bit, getting his front foot out and clubbing past deep extra cover",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
748,"Rashid to Sarfraz Ahmed, 1 run, tip and run, towards mid-on, the ball is underarmed at the stumps but missed and Sarfraz had made good ground",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
749,"Rashid to Mohammad Hafeez, no run, pushed through slightly wide, Taylor makes a diving stop at backward point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,"Rashid to Mohammad Hafeez, no run, width to cut again but Taylor pounces on it in almost identical fashion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751,"Ali to Sarfraz Ahmed, no run, tossed up on the stumps and pushed towards mid-on",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,"Ali to Sarfraz Ahmed, no run, closes the face, gets a leading edge back towards the bowler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
753,"Ali to Sarfraz Ahmed, no run, outside off, cut to backward point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
754,"Ali to Sarfraz Ahmed, 1 run, gets down low and sweeps one more through backward square leg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
755,"Ali to Mohammad Hafeez, no run, can't get this one away",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756,"Ali to Mohammad Hafeez, no run, tossed up on middle and off, pushed back to the bowler - tight few overs from England, nine runs off the last four",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
757,"Willey to Sarfraz Ahmed, 1 wide, starts with a wide down the leg side",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
758,"Willey to Sarfraz Ahmed, 1 run, goes across and nudges a length ball to leg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
759,"Willey to Mohammad Hafeez, 1 run, on the hips, tucked away through backward square",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
760,"Willey to Sarfraz Ahmed, 1 run, Willey continues to bowl a leg-stump line, clipped away for one more",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
761,"Willey to Mohammad Hafeez, 1 run, on the legs, nudged square to the man in the deep",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
762,"Willey to Sarfraz Ahmed, 1 run, pushed across the batsman, room to free the arms and slap one behind point",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
763,"Willey to Mohammad Hafeez, no run, a change of pace deceives Hafeez, he tries to pull and it bops him in the gut",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,"Ali to Sarfraz Ahmed, 1 run, gets down and sweeps one more through backward square leg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
765,"Ali to Mohammad Hafeez, no run, pushed back to the bowler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,"Ali to Mohammad Hafeez, no run, tossed up on the stumps, can't get the ball past midwicket",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,"Ali to Mohammad Hafeez, no run, tossed up outside off, driven firmly but straight to the man set back in the covers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768,"Ali to Mohammad Hafeez, no run, popped back towards the bowler again",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
769,"Ali to Mohammad Hafeez, 1 run, angled in and turned around the corner for a single to finish the over",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
770,"Willey to Mohammad Hafeez, 1 run, length ball around the line of off, pushed in front of square",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
771,"Willey to Sarfraz Ahmed, 1 leg bye, low full toss from Willey, the cat-like Sarfraz is low in the crease and into the sweep early, picks out backward square but runs anyway, a direct hit would have been close... Think there was a vain lbw appeal, too, but must have been glove/bat on it first",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
772,"Willey to Mohammad Hafeez, no run, length ball, dabbed into the covers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
773,"Willey to Mohammad Hafeez, OUT, top-edged out towards deep square leg... and taken! Hafeez's slow wind down comes to its conclusion with a tame flick into the deep, miscued it high to the fielder",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774,"Willey to Sarfraz Ahmed, 1 run, back of a length, tucked away through square",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
775,"Willey to Shoaib Malik, 1 run, goes across his stumps and flicks his first ball away for a run",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
776,"Ali to Shoaib Malik, 1 run, punched back past the bowler to long-on",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
777,"Ali to Sarfraz Ahmed, no run, worked into the leg side",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778,"Ali to Sarfraz Ahmed, OUT, comes charging down the pitch, slogs to leg - and picks out the fielder in the deep! Sarfraz has a brain fart and hands his wicket to Moeen! He was going so well but tried to force it, just after losing his partner",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
779,"Ali to Shoaib Malik, no run, pushed through flat on off stump, drops back and cut",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,"Ali to Shoaib Malik, no run, flighted, spinning in to hit the inside edge as Malik props forward",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781,"Ali to Shoaib Malik, no run, length ball, tapped square from the crease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,"Willey to Mohammad Rizwan, 1 run, pitched up outside off and pushed through the covers into the deep",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
783,"Willey to Shoaib Malik, no run, back of a length on leg stump, misses with a flick",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784,"Willey to Shoaib Malik, no run, pushed into the covers coming forwards",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,"Willey to Shoaib Malik, no run, Willey joining the dots here, as Malik punches a fullish ball to extra cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786,"Willey to Shoaib Malik, 1 run, short ball on the stumps, pulled flat through square leg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
787,"Willey to Mohammad Rizwan, no run, full around off stump, slower delivery and Rizwan pats it to cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788,"Ali to Shoaib Malik, 1 run, pushed to the right of the bowler for one",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
789,"Ali to Mohammad Rizwan, OUT, another run-out, Rizwan wandering down the pitch! Either he didn't call or Malik didn't hear it because he wasn't moving, Rizwan realised far too late and Roy was able to scoop the ball up at midwicket, underarm to Buttler, who completed the dismissal",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,"Ali to Iftikhar Ahmed, no run, spinning down the leg side, gets a leading edge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,"Ali to Iftikhar Ahmed, no run, turned into the leg side",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792,"Ali to Iftikhar Ahmed, no run, angled in with the arm, pushed back",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793,"Ali to Iftikhar Ahmed, no run, Moeen darts the ball on the stumps, Iftikhar blocks - just one off the over, to go with the run-out",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
794,"Willey to Shoaib Malik, no run, stays in the crease and blocks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795,"Willey to Shoaib Malik, 1 run, short of a length, drops back and nudged through square",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
796,"Willey to Iftikhar Ahmed, 1 run, dabbed into a gap, Iftikhar is off the mark",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
797,"Willey to Shoaib Malik, 1 run, slanted across the right-hander from over the wicket, glided to third man",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
798,"Willey to Iftikhar Ahmed, 1 run, goes full around the line of off, driven with a statesmanlike air through mid-off",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
799,"Willey to Shoaib Malik, no run, slower ball from Willey, hits the toe of the bat as he props forward",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,"Ali to Iftikhar Ahmed, 1 run, on the stumps, flicked into the leg side",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
801,"Ali to Shoaib Malik, no run, pushed through on off stump, blocked back to the bowler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,"Ali to Shoaib Malik, no run, length ball on off, closes the face and turns it to midwicket",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,"Ali to Shoaib Malik, no run, slower, floated up outside off, leans out and defends",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804,"Ali to Shoaib Malik, 1 run, spinning in off a length, goes back and whips it away to deep midwicket for one",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
805,"Ali to Iftikhar Ahmed, no run, bit of dip, gripping to spin in on off, Iftikhar shows it a straight bat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806,"Woakes to Shoaib Malik, no run, full and straight, driven to mid-n",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,"Woakes to Shoaib Malik, 1 run, there's an appeal for lbw by Woakes as this nips back, an off-cutter, and is deflected to third man. Pad first? Hard to tell. Seems to be flap of the front pad. No review used. Going over in any event",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
808,"Woakes to Iftikhar Ahmed, no run, clipped to midwicket",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
809,"Woakes to Iftikhar Ahmed, OUT, and another! Falling in a heap here. Another short-ball wicket for Woakes as Iftikhar goes to pull, gets elevation but not the distance and picks out deep square-leg.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,"Woakes to Shoaib Malik, 1 run, tight to off stump, dabbed through backward point",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
811,"Rashid to Shoaib Malik, 1 run, steps back to leg and drives out to deep cover",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
812,"Rashid to Anwar Ali, no run, appeal for lbw, full around leg stump, Anwar probs forward, probably not straightening enough...might have pitched outside leg, too",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813,"Rashid to Anwar Ali, no run, wide outside off, left alone",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,"Rashid to Anwar Ali, 2 runs, pushed square into the off side and a rare fumble in the field from England by Woakes coming across from point",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
815,"Rashid to Anwar Ali, no run, another appeal for lbw and this time England use their review. A googly from Rashid, nice spin to beat the inside edge. Has it done too much? Unless there's an edge. Well, hitting in line with off stump is umpire's call and it's also going over",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,"Rashid to Anwar Ali, 1 run, full and pushed down the ground",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
817,"Woakes to Anwar Ali, no run, full at the stumps, played back to Woakes in his followthrough",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818,"Woakes to Anwar Ali, no run, short ball, over off stump, Anwar ducks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819,"Woakes to Anwar Ali, no run, full outside off, might have been another cutter, patted to the off side",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,"Woakes to Anwar Ali, 1 run, flicked into the leg side",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
821,"Woakes to Shoaib Malik, 1 run, short delivery dug in, rises fairly gently off the surface, worked around the corner behind square",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
822,"Woakes to Anwar Ali, 1 run, push-and-run towards mid-on, it was a bit of a scamper but safe enough",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
823,"Rashid to Anwar Ali, 1 run, driven into the covers",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
824,"Rashid to Shoaib Malik, 1 run, driven away square through point, but Moeen is quickly around at deep cover",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
825,"Rashid to Anwar Ali, no run, flicks a full delivery to midwicket",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,"Rashid to Anwar Ali, no run, was that a missed stumping?? Yes, it was. Buttler can't glove it cleanly as Anwar plays over the top of a full delivery. Won't help Buttler's confidence. Anwar was out of his crease for quite some time.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
827,"Rashid to Anwar Ali, no run, beaten by one which spins, nice bowling",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,"Rashid to Anwar Ali, 1 run, driven down the ground",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
829,"Topley to Anwar Ali, no run, full outside off, played to backward point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,"Topley to Anwar Ali, no run, shorter delivery, again he can't beat backward point as he opens the face",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831,"Topley to Anwar Ali, OUT, this has gone miles in the air and is safely taken! Another bit of pretty brainless cricket from Pakistan as Anwar tries to launch this back towards Dubai, it's a back-of-a-length ball and it gets way underneath it. Moeen does well to settle under a steepler",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,"Topley to Shoaib Malik, no run, full at the stumps, tries to work to the on side but gets it towards mid-off instead",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833,"Topley to Shoaib Malik, 1 run, that's a pretty ugly heave into the leg side, swinging across the line of a full delivery",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
834,"Topley to Wahab Riaz, no run, full and straight, blocked to the off side",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,"Woakes to Shoaib Malik, 1 run, angled down to third man",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
836,"Woakes to Wahab Riaz, 1 run, a length delivery, runs it off the edge to third man",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
837,"Woakes to Shoaib Malik, 1 run, and another down to third man...it's about all Pakistan can do for the next five or six overs",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
838,"Woakes to Wahab Riaz, no run, short outside off, leaves it alone",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839,"Woakes to Wahab Riaz, no run, fuller, comes forward and pushes to backward point, Roy very quickly in",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,"Woakes to Wahab Riaz, no run, a short-of-a-length cutter which is prodded into the off side",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,"Topley to Shoaib Malik, 1 run, angled down to third man",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
842,"Topley to Wahab Riaz, OUT, another run out! Waqar not impressed in the dressing room. It was just nudged into midwicket, Malik came charging up the pitch, it's a swift pick-up by Jordan and a direct hit on the turn. Excellent work, but what has happened to Pakistan?",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
843,"Topley to Wahab Riaz, 1 run, flicked off the pads to long leg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
844,"Topley to Zafar Gohar, no run, nearly run-out No. 4! He digs out a yorker towards mid-on, Wahab charges out of his crease and has to dive to get back in",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
845,"Topley to Zafar Gohar, no run, slower ball outside off which he nearly spoons to cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
846,"Topley to Zafar Gohar, no run, tapped to the off side",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847,"Willey to Wahab Riaz, 1 run, low full toss which is squirted down to third man",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
848,"Willey to Zafar Gohar, no run, worked from offstump to midwicket",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
849,"Willey to Zafar Gohar, 1 run, full outside off, heaved down the ground to long on",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
850,"Willey to Wahab Riaz, 1 run, driven through the off side",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
851,"Willey to Zafar Gohar, 1 run, low full toss, aiming for the yorker, can only get swung to long on",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
852,"Willey to Wahab Riaz, 1 run, full on the pads, clipped to deep midwicket",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
